@relation rel

@attribute date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute knownPresence numeric
@attribute openEntryPoint numeric
@attribute motionIndoors numeric
@attribute motionOutdoors numeric
@attribute normal {true,false}

@data
2015-11-25T16:04:22,1,1,1,0,true
2015-11-25T16:04:23,1,1,1,0,true
2015-11-25T16:04:23,1,1,1,0,true
2015-11-25T16:04:23,1,1,1,0,true
2015-11-25T16:04:23,1,1,1,0,true
2015-11-25T16:04:24,1,1,1,0,true
2015-11-25T16:04:24,1,1,1,0,true
2015-11-25T16:04:24,1,1,1,0,true
2015-11-25T16:04:24,1,1,1,0,true
2015-11-25T16:04:24,1,1,1,0,true
2015-11-25T16:04:25,1,1,1,0,true
2015-11-25T16:04:25,1,1,1,0,true
2015-11-25T16:04:25,1,1,1,0,true
2015-11-25T16:04:25,1,1,1,0,true
2015-11-25T16:04:26,1,1,1,0,true
2015-11-25T16:04:26,1,1,1,0,true
2015-11-25T16:04:26,1,1,1,0,true
2015-11-25T16:04:26,1,1,1,0,true
2015-11-25T16:04:27,1,1,1,0,true
2015-11-25T16:04:27,1,1,1,0,true
2015-11-25T16:04:27,1,1,1,0,true
2015-11-25T16:04:27,1,1,1,0,true
2015-11-25T16:04:28,1,1,1,0,true
2015-11-25T16:04:28,1,1,1,0,true
2015-11-25T16:04:28,1,1,1,0,true
2015-11-25T16:04:28,1,1,1,0,true
2015-11-25T16:04:29,1,1,1,0,true
2015-11-25T16:04:29,1,1,1,0,true
2015-11-25T16:04:29,1,1,1,0,true
2015-11-25T16:04:29,1,1,1,0,true
2015-11-25T16:04:29,1,1,1,0,true
2015-11-25T16:04:30,1,1,1,0,true
2015-11-25T16:04:30,1,1,1,0,true
2015-11-25T16:04:30,1,1,1,0,true
2015-11-25T16:04:30,1,1,1,0,true
2015-11-25T16:04:31,1,1,1,0,true
2015-11-25T16:04:31,1,1,1,0,true
2015-11-25T16:04:31,1,1,1,0,true
2015-11-25T16:04:31,1,1,1,0,true
2015-11-25T16:04:32,1,1,1,0,true
2015-11-25T16:04:32,1,1,1,0,true
2015-11-25T16:04:32,1,1,1,0,true
2015-11-25T16:04:32,1,1,1,0,true
2015-11-25T16:04:33,1,1,1,0,true
2015-11-25T16:04:33,1,1,1,0,true
2015-11-25T16:04:33,1,1,1,0,true
2015-11-25T16:04:33,1,1,1,0,true
2015-11-25T16:04:34,1,1,1,0,true
2015-11-25T16:04:34,1,1,1,0,true
2015-11-25T16:04:34,1,1,1,0,true
2015-11-25T16:04:34,1,1,1,0,true
2015-11-25T16:04:34,1,1,1,0,true
2015-11-25T16:04:35,1,1,1,0,true
2015-11-25T16:04:35,1,1,1,0,true
2015-11-25T16:04:35,1,1,1,0,true
2015-11-25T16:04:35,1,1,1,0,true
2015-11-25T16:04:36,1,1,1,0,true
2015-11-25T16:04:36,1,1,1,0,true
2015-11-25T16:04:36,1,1,1,0,true
2015-11-25T16:04:36,1,1,1,0,true
2015-11-25T16:04:38,1,1,1,0,true
2015-11-25T16:04:39,1,1,1,0,true
2015-11-25T16:04:39,1,1,0,0,true
2015-11-25T16:04:40,1,1,0,0,true
2015-11-25T16:04:41,1,1,0,0,true
2015-11-25T16:04:42,1,1,0,0,true
2015-11-25T16:04:43,1,1,0,0,true
2015-11-25T16:04:44,1,1,0,0,true
2015-11-25T16:04:44,1,1,0,0,true
2015-11-25T16:04:45,1,1,0,0,true
2015-11-25T16:04:46,1,1,0,0,true
2015-11-25T16:04:47,1,1,0,0,true
2015-11-25T16:04:48,1,1,0,0,true
2015-11-25T16:04:49,1,1,0,0,true
2015-11-25T16:04:49,1,1,0,0,true
2015-11-25T16:04:50,1,1,0,0,true
2015-11-25T16:04:51,1,1,0,0,true
2015-11-25T16:04:52,1,1,0,0,true
2015-11-25T16:04:53,1,1,0,0,true
2015-11-25T16:04:54,1,1,0,0,true
2015-11-25T16:04:54,1,1,0,0,true
2015-11-25T16:04:55,1,1,0,0,true
2015-11-25T16:04:56,1,1,0,0,true
2015-11-25T16:04:57,1,1,0,0,true
2015-11-25T16:04:58,1,1,0,0,true
2015-11-25T16:04:59,1,1,0,0,true
2015-11-25T16:04:59,1,1,0,0,true
2015-11-25T16:05:00,1,1,0,0,true
2015-11-25T16:05:01,1,1,0,0,true
2015-11-25T16:05:02,1,1,0,0,true
2015-11-25T16:05:03,1,1,0,0,true
2015-11-25T16:05:04,1,1,0,0,true
2015-11-25T16:05:04,1,1,0,0,true
2015-11-25T16:05:05,1,1,0,0,true
2015-11-25T16:05:06,1,1,0,0,true
2015-11-25T16:05:07,1,1,0,0,true
2015-11-25T16:05:08,1,1,0,0,true
2015-11-25T16:05:09,1,1,0,0,true
2015-11-25T16:05:09,1,1,0,0,true
2015-11-25T16:05:10,1,1,0,0,true
2015-11-25T16:05:11,1,1,0,0,true
2015-11-25T16:05:12,1,1,0,0,true
2015-11-25T16:05:13,1,1,0,0,true
2015-11-25T16:05:14,1,1,0,0,true
2015-11-25T16:05:14,1,1,0,0,true
2015-11-25T16:05:15,1,1,0,0,true
2015-11-25T16:05:16,1,1,0,0,true
2015-11-25T16:05:17,1,1,0,0,true
2015-11-25T16:05:18,1,1,0,0,true
2015-11-25T16:05:19,1,1,0,0,true
2015-11-25T16:05:19,1,1,0,0,true
2015-11-25T16:05:20,1,1,0,0,true
2015-11-25T16:05:21,1,1,0,0,true
2015-11-25T16:05:22,1,1,0,0,true
2015-11-25T16:05:23,1,1,0,0,true
2015-11-25T16:05:24,1,1,0,0,true
2015-11-25T16:05:24,1,1,0,0,true
2015-11-25T16:05:25,1,1,0,0,true
2015-11-25T16:05:26,1,1,0,0,true
2015-11-25T16:05:27,1,1,0,0,true
2015-11-25T16:05:28,1,1,0,0,true
2015-11-25T16:05:29,1,1,0,0,true
2015-11-25T16:05:29,1,1,0,0,true
2015-11-25T16:05:30,1,1,0,0,true
2015-11-25T16:05:31,1,1,0,0,true
2015-11-25T16:05:32,1,1,0,0,true
2015-11-25T16:05:33,1,1,0,0,true
2015-11-25T16:05:34,1,1,0,0,true
2015-11-25T16:05:34,1,1,0,0,true
2015-11-25T16:05:35,1,1,0,0,true
2015-11-25T16:05:36,1,1,0,0,true
2015-11-25T16:05:38,1,1,0,0,true
2015-11-25T16:05:38,1,1,0,0,true
2015-11-25T16:05:39,1,1,0,0,true
2015-11-25T16:05:39,1,1,0,0,true
2015-11-25T16:05:39,1,1,0,0,true
2015-11-25T16:05:40,1,1,0,0,true
2015-11-25T16:05:40,1,1,0,0,true
2015-11-25T16:05:41,1,1,0,0,true
2015-11-25T16:05:41,1,1,0,0,true
2015-11-25T16:05:42,1,1,0,0,true
2015-11-25T16:05:42,1,1,0,0,true
2015-11-25T16:05:43,1,1,0,0,true
2015-11-25T16:05:43,1,1,0,0,true
2015-11-25T16:05:44,1,1,0,0,true
2015-11-25T16:05:44,1,1,0,0,true
2015-11-25T16:05:44,1,1,0,0,true
2015-11-25T16:05:45,1,1,0,0,true
2015-11-25T16:05:45,1,1,0,0,true
2015-11-25T16:05:46,1,1,0,0,true
2015-11-25T16:05:46,1,1,0,0,true
2015-11-25T16:05:47,1,1,0,0,true
2015-11-25T16:05:47,1,1,0,0,true
2015-11-25T16:05:48,1,1,0,0,true
2015-11-25T16:05:49,1,1,0,0,true
2015-11-25T16:05:49,1,1,0,0,true
2015-11-25T16:05:49,1,1,0,0,true
2015-11-25T16:05:50,1,1,0,0,true
2015-11-25T16:05:50,1,1,0,0,true
2015-11-25T16:05:51,1,1,0,0,true
2015-11-25T16:05:51,1,1,0,0,true
2015-11-25T16:05:52,1,1,0,0,true
2015-11-25T16:05:52,1,1,0,0,true
2015-11-25T16:05:53,1,1,0,0,true
2015-11-25T16:05:54,1,1,0,0,true
2015-11-25T16:05:54,1,1,0,0,true
2015-11-25T16:05:54,1,1,0,0,true
2015-11-25T16:05:55,1,1,0,0,true
2015-11-25T16:05:55,1,1,0,0,true
2015-11-25T16:05:56,1,1,0,0,true
2015-11-25T16:05:56,1,1,0,0,true
2015-11-25T16:05:57,1,1,0,0,true
2015-11-25T16:05:57,1,1,0,0,true
2015-11-25T16:05:58,1,1,0,0,true
2015-11-25T16:05:58,1,1,0,0,true
2015-11-25T16:05:59,1,1,0,0,true
2015-11-25T16:05:59,1,1,0,0,true
2015-11-25T16:05:59,1,1,0,0,true
2015-11-25T16:06:00,1,1,0,0,true
2015-11-25T16:06:00,1,1,0,0,true
2015-11-25T16:06:01,1,1,0,0,true
2015-11-25T16:06:01,1,1,0,0,true
2015-11-25T16:06:02,1,1,0,0,true
2015-11-25T16:06:02,1,1,0,0,true
2015-11-25T16:06:03,1,1,0,0,true
2015-11-25T16:06:03,1,1,0,0,true
2015-11-25T16:06:04,1,1,0,0,true
2015-11-25T16:06:04,1,1,0,0,true
2015-11-25T16:06:04,1,1,0,0,true
2015-11-25T16:06:05,1,1,0,0,true
2015-11-25T16:06:05,1,1,0,0,true
2015-11-25T16:06:06,1,1,0,0,true
2015-11-25T16:06:06,1,1,0,0,true
2015-11-25T16:06:07,1,1,0,0,true
2015-11-25T16:06:07,1,1,0,0,true
2015-11-25T16:06:08,1,1,0,0,true
2015-11-25T16:06:08,1,1,0,0,true
2015-11-25T16:06:09,1,1,0,0,true
2015-11-25T16:06:09,1,1,0,0,true
2015-11-25T16:06:09,1,1,0,0,true
2015-11-25T16:06:10,1,1,0,0,true
2015-11-25T16:06:10,1,1,0,0,true
2015-11-25T16:06:11,1,1,0,0,true
2015-11-25T16:06:11,1,1,0,0,true
2015-11-25T16:06:12,1,1,0,0,true
2015-11-25T16:06:12,1,1,0,0,true
2015-11-25T16:06:13,1,1,0,0,true
2015-11-25T16:06:13,1,1,0,0,true
2015-11-25T16:06:14,1,1,0,0,true
2015-11-25T16:06:14,1,1,0,0,true
2015-11-25T16:06:14,1,1,0,0,true
2015-11-25T16:06:15,1,1,0,0,true
2015-11-25T16:06:15,1,1,0,0,true
2015-11-25T16:06:16,1,1,0,0,true
2015-11-25T16:06:16,1,1,0,0,true
2015-11-25T16:06:17,1,1,0,0,true
2015-11-25T16:06:17,1,1,0,0,true
2015-11-25T16:06:18,1,1,0,0,true
2015-11-25T16:06:18,1,1,0,0,true
2015-11-25T16:06:19,1,1,0,0,true
2015-11-25T16:06:19,1,1,0,0,true
2015-11-25T16:06:19,1,1,0,0,true
2015-11-25T16:06:20,1,1,0,0,true
2015-11-25T16:06:20,1,1,0,0,true
2015-11-25T16:06:21,1,1,0,0,true
2015-11-25T16:06:21,1,1,0,0,true
2015-11-25T16:06:22,1,1,0,0,true
2015-11-25T16:06:22,1,1,0,0,true
2015-11-25T16:06:23,1,1,0,0,true
2015-11-25T16:06:23,1,1,0,0,true
2015-11-25T16:06:24,1,1,0,0,true
2015-11-25T16:06:24,1,1,0,0,true
2015-11-25T16:06:24,1,1,0,0,true
2015-11-25T16:06:25,1,1,0,0,true
2015-11-25T16:06:25,1,1,0,0,true
2015-11-25T16:06:26,1,1,0,0,true
2015-11-25T16:06:26,1,1,0,0,true
2015-11-25T16:06:27,1,1,0,0,true
2015-11-25T16:06:27,1,1,0,0,true
2015-11-25T16:06:28,1,1,0,0,true
2015-11-25T16:06:28,1,1,0,0,true
2015-11-25T16:06:29,1,1,0,0,true
2015-11-25T16:06:29,1,1,0,0,true
2015-11-25T16:06:29,1,1,0,0,true
2015-11-25T16:06:30,1,1,0,0,true
2015-11-25T16:06:30,1,1,0,0,true
2015-11-25T16:06:31,1,1,0,0,true
2015-11-25T16:06:31,1,1,0,0,true
2015-11-25T16:06:32,1,1,0,0,true
2015-11-25T16:06:32,1,1,0,0,true
2015-11-25T16:06:33,1,1,0,0,true
2015-11-25T16:06:33,1,1,0,0,true
2015-11-25T16:06:34,1,1,0,0,true
2015-11-25T16:06:34,1,1,0,0,true
2015-11-25T16:06:34,1,1,0,0,true
2015-11-25T16:06:35,1,1,0,0,true
2015-11-25T16:06:35,1,1,0,0,true
2015-11-25T16:06:36,1,1,0,0,true
2015-11-25T16:06:36,1,1,0,0,true
2015-11-25T16:06:37,1,1,0,0,true
2015-11-25T16:06:37,1,1,0,0,true
2015-11-25T16:06:39,1,1,0,0,true
2015-11-25T16:06:39,1,1,1,0,true
2015-11-25T16:06:39,1,1,1,0,true
2015-11-25T16:06:39,1,1,1,0,true
2015-11-25T16:06:40,1,1,0,0,true
2015-11-25T16:06:40,1,1,1,0,true
2015-11-25T16:06:40,1,1,1,0,true
2015-11-25T16:06:41,1,1,1,0,true
2015-11-25T16:06:41,1,1,1,0,true
2015-11-25T16:06:41,1,1,1,0,true
2015-11-25T16:06:42,1,1,1,0,true
2015-11-25T16:06:42,1,1,1,0,true
2015-11-25T16:06:42,1,1,1,0,true
2015-11-25T16:06:43,1,1,1,0,true
2015-11-25T16:06:43,1,1,1,0,true
2015-11-25T16:06:43,1,1,1,0,true
2015-11-25T16:06:44,1,1,1,0,true
2015-11-25T16:06:44,1,1,1,0,true
2015-11-25T16:06:44,1,1,1,0,true
2015-11-25T16:06:44,1,1,1,0,true
2015-11-25T16:06:45,1,1,1,0,true
2015-11-25T16:06:45,1,1,1,0,true
2015-11-25T16:06:45,1,1,1,0,true
2015-11-25T16:06:46,1,1,1,0,true
2015-11-25T16:06:46,1,1,1,0,true
2015-11-25T16:06:46,1,1,1,0,true
2015-11-25T16:06:47,1,1,1,0,true
2015-11-25T16:06:47,1,1,1,0,true
2015-11-25T16:06:47,1,1,1,0,true
2015-11-25T16:06:48,1,1,1,0,true
2015-11-25T16:06:48,1,1,1,0,true
2015-11-25T16:06:48,1,1,1,0,true
2015-11-25T16:06:49,1,1,1,0,true
2015-11-25T16:06:49,1,1,1,0,true
2015-11-25T16:06:49,1,1,1,0,true
2015-11-25T16:06:49,1,1,1,0,true
2015-11-25T16:06:50,1,1,1,0,true
2015-11-25T16:06:50,1,1,1,0,true
2015-11-25T16:06:50,1,1,1,0,true
2015-11-25T16:06:51,1,1,1,0,true
2015-11-25T16:06:51,1,1,1,0,true
2015-11-25T16:06:51,1,1,1,0,true
2015-11-25T16:06:52,1,1,1,0,true
2015-11-25T16:06:52,1,1,1,0,true
2015-11-25T16:06:52,1,1,1,0,true
2015-11-25T16:06:53,1,1,1,0,true
2015-11-25T16:06:53,1,1,1,0,true
2015-11-25T16:06:53,1,1,1,0,true
2015-11-25T16:06:54,1,1,1,0,true
2015-11-25T16:06:54,1,1,1,0,true
2015-11-25T16:06:54,1,1,1,0,true
2015-11-25T16:06:54,1,1,1,0,true
2015-11-25T16:06:55,1,1,1,0,true
2015-11-25T16:06:55,1,1,1,0,true
2015-11-25T16:06:55,1,1,1,0,true
2015-11-25T16:06:56,1,1,1,0,true
2015-11-25T16:06:56,1,1,1,0,true
2015-11-25T16:06:56,1,1,1,0,true
2015-11-25T16:06:57,1,1,1,0,true
2015-11-25T16:06:57,1,1,1,0,true
2015-11-25T16:06:57,1,1,1,0,true
2015-11-25T16:06:58,1,1,1,0,true
2015-11-25T16:06:58,1,1,1,0,true
2015-11-25T16:06:58,1,1,1,0,true
2015-11-25T16:06:59,1,1,1,0,true
2015-11-25T16:06:59,1,1,1,0,true
2015-11-25T16:06:59,1,1,1,0,true
2015-11-25T16:06:59,1,1,1,0,true
2015-11-25T16:07:00,1,1,1,0,true
2015-11-25T16:07:00,1,1,1,0,true
2015-11-25T16:07:00,1,1,1,0,true
2015-11-25T16:07:01,1,1,1,0,true
2015-11-25T16:07:01,1,1,1,0,true
2015-11-25T16:07:01,1,1,1,0,true
2015-11-25T16:07:02,1,1,1,0,true
2015-11-25T16:07:02,1,1,1,0,true
2015-11-25T16:07:02,1,1,1,0,true
2015-11-25T16:07:03,1,1,1,0,true
2015-11-25T16:07:03,1,1,1,0,true
2015-11-25T16:07:03,1,1,1,0,true
2015-11-25T16:07:04,1,1,1,0,true
2015-11-25T16:07:04,1,1,1,0,true
2015-11-25T16:07:04,1,1,1,0,true
2015-11-25T16:07:05,1,1,1,0,true
2015-11-25T16:07:05,1,1,1,0,true
2015-11-25T16:07:05,1,1,1,0,true
2015-11-25T16:07:05,1,1,1,0,true
2015-11-25T16:07:06,1,1,1,0,true
2015-11-25T16:07:06,1,1,1,0,true
2015-11-25T16:07:06,1,1,1,0,true
2015-11-25T16:07:07,1,1,1,0,true
2015-11-25T16:07:07,1,1,1,0,true
2015-11-25T16:07:07,1,1,1,0,true
2015-11-25T16:07:08,1,1,1,0,true
2015-11-25T16:07:08,1,1,1,0,true
2015-11-25T16:07:08,1,1,1,0,true
2015-11-25T16:07:09,1,1,1,0,true
2015-11-25T16:07:09,1,1,1,0,true
2015-11-25T16:07:09,1,1,1,0,true
2015-11-25T16:07:10,1,1,1,0,true
2015-11-25T16:07:10,1,1,0,0,true
2015-11-25T16:07:10,1,1,1,0,true
2015-11-25T16:07:10,1,1,1,0,true
2015-11-25T16:07:11,1,1,1,0,true
2015-11-25T16:07:11,1,1,1,0,true
2015-11-25T16:07:11,1,1,1,0,true
2015-11-25T16:07:12,1,1,1,0,true
2015-11-25T16:07:12,1,1,1,0,true
2015-11-25T16:07:12,1,1,1,0,true
2015-11-25T16:07:13,1,1,1,0,true
2015-11-25T16:07:13,1,1,1,0,true
2015-11-25T16:07:13,1,1,1,0,true
2015-11-25T16:07:14,1,1,1,0,true
2015-11-25T16:07:14,1,1,1,0,true
2015-11-25T16:07:14,1,1,1,0,true
2015-11-25T16:07:15,1,1,1,0,true
2015-11-25T16:07:15,1,1,1,0,true
2015-11-25T16:07:15,1,1,1,0,true
2015-11-25T16:07:15,1,1,1,0,true
2015-11-25T16:07:16,1,1,1,0,true
2015-11-25T16:07:16,1,1,1,0,true
2015-11-25T16:07:16,1,1,1,0,true
2015-11-25T16:07:17,1,1,1,0,true
2015-11-25T16:07:17,1,1,1,0,true
2015-11-25T16:07:17,1,1,1,0,true
2015-11-25T16:07:18,1,1,1,0,true
2015-11-25T16:07:18,1,1,1,0,true
2015-11-25T16:07:18,1,1,1,0,true
2015-11-25T16:07:19,1,1,1,0,true
2015-11-25T16:07:19,1,1,1,0,true
2015-11-25T16:07:19,1,1,1,0,true
2015-11-25T16:07:20,1,1,1,0,true
2015-11-25T16:07:20,1,1,1,0,true
2015-11-25T16:07:20,1,1,1,0,true
2015-11-25T16:07:20,1,1,1,0,true
2015-11-25T16:07:21,1,1,1,0,true
2015-11-25T16:07:21,1,1,1,0,true
2015-11-25T16:07:21,1,1,1,0,true
2015-11-25T16:07:22,1,1,1,0,true
2015-11-25T16:07:22,1,1,1,0,true
2015-11-25T16:07:22,1,1,1,0,true
2015-11-25T16:07:23,1,1,1,0,true
2015-11-25T16:07:23,1,1,1,0,true
2015-11-25T16:07:23,1,1,1,0,true
2015-11-25T16:07:24,1,1,1,0,true
2015-11-25T16:07:24,1,1,1,0,true
2015-11-25T16:07:24,1,1,1,0,true
2015-11-25T16:07:25,1,1,1,0,true
2015-11-25T16:07:25,1,1,1,0,true
2015-11-25T16:07:25,1,1,1,0,true
2015-11-25T16:07:25,1,1,1,0,true
2015-11-25T16:07:26,1,1,1,0,true
2015-11-25T16:07:26,1,1,1,0,true
2015-11-25T16:07:26,1,1,1,0,true
2015-11-25T16:07:27,1,1,1,0,true
2015-11-25T16:07:27,1,1,1,0,true
2015-11-25T16:07:27,1,1,1,0,true
2015-11-25T16:07:28,1,1,1,0,true
2015-11-25T16:07:28,1,1,1,0,true
2015-11-25T16:07:28,1,1,1,0,true
2015-11-25T16:07:29,1,1,1,0,true
2015-11-25T16:07:29,1,1,1,0,true
2015-11-25T16:07:29,1,1,1,0,true
2015-11-25T16:07:30,1,1,1,0,true
2015-11-25T16:07:30,1,1,1,0,true
2015-11-25T16:07:30,1,1,1,0,true
2015-11-25T16:07:30,1,1,1,0,true
2015-11-25T16:07:31,1,1,1,0,true
2015-11-25T16:07:31,1,1,1,0,true
2015-11-25T16:07:31,1,1,1,0,true
2015-11-25T16:07:32,1,1,1,0,true
2015-11-25T16:07:32,1,1,1,0,true
2015-11-25T16:07:32,1,1,1,0,true
2015-11-25T16:07:33,1,1,1,0,true
2015-11-25T16:07:33,1,1,1,0,true
2015-11-25T16:07:33,1,1,1,0,true
2015-11-25T16:07:34,1,1,1,0,true
2015-11-25T16:07:34,1,1,1,0,true
2015-11-25T16:07:34,1,1,1,0,true
2015-11-25T16:07:35,1,1,1,0,true
2015-11-25T16:07:35,1,1,1,0,true
2015-11-25T16:07:35,1,1,1,0,true
2015-11-25T16:07:35,1,1,1,0,true
2015-11-25T16:07:36,1,1,1,0,true
2015-11-25T16:07:36,1,1,1,0,true
2015-11-25T16:07:36,1,1,1,0,true
2015-11-25T16:07:37,1,1,1,0,true
2015-11-25T16:07:37,1,1,1,0,true
2015-11-25T16:07:37,1,1,1,0,true
2015-11-25T16:07:38,1,1,1,0,true
2015-11-25T16:07:38,1,1,1,0,true
2015-11-25T16:07:38,1,1,1,0,true
2015-11-25T16:07:38,1,0,1,0,true
2015-11-25T16:07:38,0,0,1,0,true
2015-11-25T16:07:38,0,0,1,0,true
2015-11-25T16:07:47,1,0,1,0,true
